,track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,genres_list,genres_grouped,genres_final,year
2079,3qhlB30KknSejmIvZZLjOD,End of Beginning,6,89,False,Djo,73,2322081,,4JDXBZdRPId4devseaAOKH,DECIDE,2022-09-16,13,album,2.65,[],['unknown'],unknown,2022
2080,4bCPIiB3tV9oPW2NUXVeh2,Enemies,1,25,False,Ericovich,41,11026,nightcore,5d5gdCeJbaJyBijHdsrZbL,Enemies,2022-09-16,1,single,2.19,['nightcore'],['other'],other,2022
2081,7gRFDGEzF9UkBV233yv2dc,Shut Down,2,72,False,BLACKPINK,81,56178946,k-pop,0kbZ4ZNRs76sSFeGUEErFM,BORN PINK,2022-09-15,8,album,2.93,['k-pop'],['other'],other,2022
2082,31mzt4ZV8C0f52pIz1NSwd,Shut up My Moms Calling (Sped up),1,75,False,Hotel Ugly,71,1072935,,0h2GcVhEPwh1mrRg3MSa3A,Shut up My Moms Calling (Sped up),2022-09-14,2,single,2.25,[],['unknown'],unknown,2022
2083,1UPB5rYJ0bzn6mNSoAHrZC,You'll Be in My Heart,2,83,False,NIKI,76,8642338,indonesian r&b,7GZpa8xckIRPFIbT49B4zZ,You'll Be In My Heart,2022-09-14,2,single,4.02,['indonesian r&b'],['other'],other,2022
2084,4yhzZ9ESp4UwnJqImyMR3A,Mary On A Cross - slowed + reverb,7,45,False,Ghost,73,3770138,"metal, hard rock",1BbfbJZan9d1srv8aHavom,[MESSAGE FROM THE CLERGY],2022-09-12,7,compilation,4.57,"['metal', 'hard rock']",['other'],other,2022
2085,6IyoLWzljeR3ldQo4KWHT6,Out thë way,3,72,True,Yeat,79,5976603,rage rap,6Xo2PDEoQKzCndIbks2kvu,Lyfë,2022-09-09,12,album,2.5,['rage rap'],['other'],other,2022
2086,2iiJOgkKOCyb7ZPeqUNpud,Elden Ring,1,0,False,Tsukasa Saitoh,43,12225,soundtrack,6WWL32UxPnjrIWlgLdzoir,Elden Ring (Original Soundtrack),2022-09-09,67,album,1.63,['soundtrack'],['soundtrack'],soundtrack,2022
2087,5uSFGgIfHMT3osrAd9n9ym,Forget Me,1,2,False,Lewis Capaldi,79,14039018,soft pop,50IWCes196EP2nWO6i4I67,Forget Me,2022-09-09,1,single,3.39,['soft pop'],['soft pop'],soft pop,2022
2088,70krvvezXaAUim8wvWb9Fb,Somewhere Only We Know,1,2,False,Gustixa,58,219293,,2Zk5trKpYHY4YSvBtpYffS,Somewhere Only We Know,2022-09-05,1,single,3.06,[],['unknown'],unknown,2022
2089,5XNsPRT2EPgVUu4ESXc0B8,Cry For You,1,23,False,Whoopa,26,2105,,4wr6NvqoARQMkndJFOnUEA,Cry For You,2022-09-02,1,single,3.02,[],['unknown'],unknown,2022
2090,5EpkyTNrxvsueT6z41bINu,"Sex, Drugs, Etc (Sped Up)",1,0,True,ylsounds,0,599,,4AOSxHH0Y6stXdfPM6LyK6,Calm Sped Ups,2022-09-01,2,single,2.66,[],['unknown'],unknown,2022
2091,2cWjptVqIiakuWdzlM36qy,That's My Kind Of Night,2,44,False,Luke Bryan,74,9407321,"country, acoustic country",0I6ukSqut4omggvIiK7NLZ,Country Festival,2022-09-01,30,compilation,3.16,"['country', 'acoustic country']",['country'],country,2022
2092,5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,1,75,False,Dean Lewis,75,4153847,,3cptxwPFf3Ioj7I3AVX3mp,How Do I Say Goodbye,2022-08-31,1,single,2.72,[],['unknown'],unknown,2022
2093,6nStBZGqGgTR87MrBpNza0,HEARTBEAT,1,64,False,Isabel LaRosa,71,2569728,,7cLRRJ3fRfyExOHOIwcLDy,HEARTBEAT,2022-08-26,1,single,2.08,[],['unknown'],unknown,2022
2094,72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,1,71,False,Elton John,80,15542286,,4QQWpCEX4BxMXwRQmtkKY6,Hold Me Closer,2022-08-26,1,single,3.37,[],['unknown'],unknown,2022
2095,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),1,84,True,David Guetta,87,27141717,edm,7M842DMhYVALrXsw3ty7B3,I'm Good (Blue),2022-08-26,2,single,2.92,['edm'],['edm'],edm,2022
2096,6ZjuBJah2xFEl4z3X20di3,Nachts wach (Lila Wolken Bootleg),1,1,True,Miksu / Macloud,62,185287,"german hip hop, german indie, german indie pop",3iHDtutprAk1q5Fe55till,Nachts wach (Remix EP),2022-08-26,4,single,2.63,"['german hip hop', 'german indie', 'german indie pop']",['other'],other,2022
2097,6QVYYSKyGWpTv9zmo9eMJ6,Shut Up and Listen - Sped Up Version,1,54,True,Nicholas Bonnin,52,60328,dark r&b,20rBiCHjGF4GlMZbZ4DZp2,Shut Up and Listen (Sped Up Version),2022-08-26,2,single,3.72,['dark r&b'],['dark r&b'],dark r&b,2022
2098,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),1,79,False,Rema,76,8672431,"afrobeats, afrobeat, afropop, afropiano",2b2GHWESCWEuHiCZ2Skedp,Calm Down (with Selena Gomez),2022-08-25,1,single,3.98,"['afrobeats', 'afrobeat', 'afropop', 'afropiano']",['other'],other,2022
2099,7EyhPjrJzjx0fk2i7vUJCS,Pink Venom,1,58,False,BLACKPINK,81,56140946,k-pop,5bKmRG1QsggSXoHxYUnPIY,Pink Venom,2022-08-19,1,single,3.11,['k-pop'],['other'],other,2022
2100,6VhuP99TE6gYNQRJIlAWFD,Until I Found You,7,78,False,Stephen Sanchez,71,1874891,,6BUPtXbb2tspYnkVdg5Ef7,Easy On My Eyes,2022-08-19,7,album,2.94,[],['unknown'],unknown,2022
2101,0j3mqDTK4Z6lvrLzFCUUz6,Good Looking,1,73,False,Suki Waterhouse,68,1391888,,78rO0EfpVs1RPfpxzF6kUz,Good Looking,2022-08-18,3,single,3.58,[],['unknown'],unknown,2022
